GENE_ID,ADJ_PVAL
ENSG00000067369,8.91E-267
ENSG00000107281,3.81E-231
ENSG00000178187,5.05E-222
ENSG00000066322,7.56E-220
ENSG00000166292,8.94E-220
ENSG00000231096,1.35E-218
